score_id,quartiere_id,total_somministrazione,total_population,stores_per_1000_residents,distance_to_nearest_metro,competition_index,normalized_population,normalized_competition,normalized_distance_to_metro,retail_opportunity_score,opportunity_level
1,1,1117,42244,26.441624846131994,767.2393993240313,26.441624846131994,0.6716871128385764,1.0,0.10608515345079045,-0.06895782991279867,Low Opportunity
2,2,445,34977,12.72264631043257,344.15313184065803,12.72264631043257,0.4951536499453419,0.40759880018775557,0.03141260817060829,0.07387704077556775,High Opportunity
3,3,259,34009,7.615631156458584,846.2846143159969,7.615631156458584,0.4716385278756225,0.18707203889858057,0.12003622643356279,0.12275487864281437,High Opportunity
4,8,225,29935,7.516285284783698,2920.6317522514946,7.516285284783698,0.37267095833839425,0.18278217042014755,0.4861478034073816,0.006498610923749454,Medium Opportunity
5,7,337,39692,8.490375894386778,1727.7810429189099,8.490375894386778,0.6096927001093162,0.22484451816368423,0.2756158021326409,0.14054297326537465,High Opportunity
6,22,169,19947,8.472451997794154,2317.201028177409,8.472451997794154,0.13003765334628933,0.22407054378803007,0.37964539118090573,-0.09583682455616148,Low Opportunity
7,21,92,14594,6.303960531725367,4792.5925631318105,6.303960531725367,0.0,0.1304325996117241,0.8165392369196506,-0.20895925724803355,Very Low Opportunity
8,6,273,49381,5.528442113363439,825.8982986914576,5.528442113363439,0.8450625531398033,0.09694482642812985,0.11643814681347842,0.3230598303003704,Very High Opportunity
9,5,293,36856,7.949858910353808,642.4000284934348,7.949858910353808,0.5407992226405928,0.20150437596382606,0.08405164802281408,0.15602278899636485,High Opportunity
10,16,185,41605,4.44658093979089,4322.467193582363,4.44658093979089,0.6561642171747845,0.05022882234758363,0.7335645326025857,0.13098090338648163,High Opportunity
11,17,174,40500,4.296296296296297,3444.099390303212,4.296296296296297,0.6293210251427184,0.043739359382984434,0.5785371431456727,0.15217825690104417,High Opportunity
12,13,244,55759,4.375975178894887,880.5862221191198,4.375975178894887,1.0,0.04717998475667938,0.12609028339243683,0.40826894865667485,Very High Opportunity
13,18,269,50505,5.326205326205327,2849.2112278976083,5.326205326205327,0.872367302319932,0.08821201042095538,0.4735424490183751,0.26698259259296,Very High Opportunity
14,20,151,28799,5.243237612417097,5525.526018220206,5.243237612417097,0.34507469938054175,0.08462936955116118,0.9458982136077781,-0.06351630734321823,Low Opportunity
15,19,113,25970,4.351174432036966,5832.06067273054,4.351174432036966,0.2763512692821572,0.046109060113372964,1.0,-0.0917800998627098,Low Opportunity
16,15,146,40717,3.5857258638897758,2835.7821209649765,3.5857258638897758,0.6345924936232236,0.013056114590862767,0.4711722808693019,0.18676252584978825,High Opportunity
17,23,147,34188,4.2997542997543,3832.5141401012215,4.2997542997543,0.47598688206000245,0.04388867993131427,0.6470903442795817,0.06941499009512478,High Opportunity
18,10,212,47124,4.498769204651557,1135.4116570648707,4.498769204651557,0.7902344224462529,0.0524823713737832,0.17106565908287208,0.3030235283034152,Very High Opportunity
19,14,182,47185,3.8571579951255694,844.6534448173124,3.8571579951255694,0.7917162638163489,0.024776864775962533,0.1197483334254189,0.3236507493606863,Very High Opportunity
20,4,188,33352,5.63684336771408,1769.8553823473248,5.63684336771408,0.45567836754524477,0.10162571669786585,0.2830417061564002,0.11287792331982707,High Opportunity
21,11,263,55185,4.765787804657063,1990.0781543539572,4.765787804657063,0.9860561156322118,0.0640125402273773,0.32190989020834115,0.3569388849132451,Very High Opportunity
22,9,203,27762,7.312153303076148,166.1728166799324,7.312153303076148,0.3198833960889105,0.17396751774255015,0.0,0.08305889703011718,High Opportunity
23,12,138,42030,3.283369022127052,3325.1000993854254,3.283369022127052,0.6664885218025022,0.0,0.5575343817177869,0.18841295846756861,High Opportunity
